altitude,machNumber,angleOfAttack,angleOfSideslip
12197,0.5,-13,9
11190,0.1,12,11
11585,0.6,-13,-2
1885,0.3,-1,1
4005,0.1,1,11
11457,0.4,0,7
14874,0.5,-6,-2
6570,0.3,-11,-1
3532,0.4,0,-1
8431,0.4,-14,13
6688,0.5,11,1
12582,0.5,3,-4
11019,0.5,-10,-3
11875,0.3,12,4
4170,0.5,-3,11
12494,0.2,7,4
8877,0.2,8,12
8610,0.3,-15,8
14329,0.2,-5,6
5191,0.6,-6,8
5872,0.5,9,-2
9096,0.3,4,-1
9274,0.6,-2,10
2741,0.6,-7,3
10960,0.1,6,12
10419,0.5,10,14
8021,0.6,-11,10
5075,0.3,-13,7
12293,0.5,10,7
485,0.2,-11,10
8947,0.5,14,-2
10284,0.3,5,14
2505,0.3,3,11
8094,0.2,5,9
12676,0.5,9,11
2936,0.2,7,13
5518,0.4,5,4
6103,0.5,-9,6
6552,0.3,11,3
8692,0.3,8,10
7131,0.5,7,14
14559,0.5,-10,5
13981,0.1,12,1
5543,0.6,-12,0
2686,0.4,13,6
11630,0.4,-10,9
7567,0.2,5,-1
11459,0.3,0,11
2436,0.2,-12,2
11792,0.2,6,-3
11978,0.2,0,-2
4298,0.1,-14,8
3354,0.6,-14,-2
6792,0.6,8,4
8300,0.6,3,-3
13234,0.5,1,13
1643,0.3,-6,8
2558,0.5,2,3
482,0.2,9,11
7948,0.4,12,7
8444,0.4,5,1
10170,0.4,-5,2
7952,0.2,10,12
6137,0.5,-3,-3
8534,0.6,1,8
14935,0.1,-6,10
8277,0.4,12,2
8850,0.5,12,13
9394,0.4,-2,-3
3777,0.4,7,13
6961,0.1,-5,12
6288,0.2,2,-1
1435,0.3,-11,2
8597,0.5,-4,-2
5477,0.3,6,1
13481,0.5,5,13
4971,0.6,-8,-1
1328,0.3,13,8
12512,0.3,-10,2
11040,0.6,-10,7
3203,0.1,-5,4
2265,0.4,-13,12
6763,0.2,-13,1
10336,0.4,14,9
10223,0.3,6,10
10231,0.3,-1,-2
5126,0.4,14,7
9655,0.2,-3,10
13753,0.2,13,9
505,0.1,-4,12
9175,0.3,0,-1
5015,0.4,-6,14
2142,0.2,-8,-4
7519,0.3,4,-2
7558,0.2,-14,13
207,0.3,4,-3
12765,0.5,-3,1
2748,0.5,-2,-2
5597,0.5,-11,10
4137,0.6,-9,0
