Altitude,Mach number,Angle of attack (AoA),Angle of sideslip (AoS),Total CL,Total CD,Directory Name
1000.0,0.3,0.0,0.0,0.145757,-0.016172,Case00_alt1000.0_mach0.3_aoa0.0_aos0.0
100.0,0.3,3.0,0.0,0.409871,0.003548,Case01_alt100.0_mach0.3_aoa3.0_aos0.0
500.0,0.3,3.0,0.0,0.409871,0.003548,Case02_alt500.0_mach0.3_aoa3.0_aos0.0
800.0,0.2,3.0,0.0,0.382172,-0.017744,Case03_alt800.0_mach0.2_aoa3.0_aos0.0
800.0,0.4,3.0,0.0,0.406668,0.009368,Case04_alt800.0_mach0.4_aoa3.0_aos0.0
800.0,0.4,3.0,2.0,0.393799,0.019289,Case05_alt800.0_mach0.4_aoa3.0_aos2.0
1200.0,0.4,2.0,2.0,0.307603,0.010582,Case06_alt1200.0_mach0.4_aoa2.0_aos2.0
1200.0,0.4,-1.0,2.0,0.036861,-0.002903,Case07_alt1200.0_mach0.4_aoa-1.0_aos2.0
1200.0,0.4,-1.0,5.0,0.027727,0.038115,Case08_alt1200.0_mach0.4_aoa-1.0_aos5.0
1200.0,0.4,-1.0,1.0,0.039731,-0.009819,Case09_alt1200.0_mach0.4_aoa-1.0_aos1.0
1200.0,0.6,-1.0,1.0,0.039725,-0.000395,Case10_alt1200.0_mach0.6_aoa-1.0_aos1.0
1800.0,0.6,-1.0,1.0,0.039725,-0.000395,Case11_alt1800.0_mach0.6_aoa-1.0_aos1.0
1800.0,0.6,2.0,1.0,0.333700,0.016644,Case12_alt1800.0_mach0.6_aoa2.0_aos1.0
1800.0,0.6,6.0,1.0,0.645756,0.074121,Case13_alt1800.0_mach0.6_aoa6.0_aos1.0
1800.0,0.8,6.0,1.0,0.815067,0.136870,Case14_alt1800.0_mach0.8_aoa6.0_aos1.0
1800.0,0.8,11.0,1.0,1.011435,0.257516,Case15_alt1800.0_mach0.8_aoa11.0_aos1.0
1800.0,1.1,11.0,1.0,0.989072,0.349398,Case16_alt1800.0_mach1.1_aoa11.0_aos1.0
1800.0,1.1,11.0,4.0,0.980072,0.365734,Case17_alt1800.0_mach1.1_aoa11.0_aos4.0
2300.0,1.1,11.0,4.0,0.980072,0.365734,Case18_alt2300.0_mach1.1_aoa11.0_aos4.0
2300.0,1.1,15.0,4.0,1.252676,0.517533,Case19_alt2300.0_mach1.1_aoa15.0_aos4.0
2300.0,0.8,15.0,4.0,1.037499,0.378642,Case20_alt2300.0_mach0.8_aoa15.0_aos4.0
2300.0,0.8,9.0,4.0,1.029501,0.260485,Case21_alt2300.0_mach0.8_aoa9.0_aos4.0
2300.0,0.8,9.0,6.0,1.088550,0.310583,Case22_alt2300.0_mach0.8_aoa9.0_aos6.0
2300.0,0.8,9.0,0.0,0.956183,0.202992,Case23_alt2300.0_mach0.8_aoa9.0_aos0.0
