Altitude,Mach,AoA,AoS,Total CL,Total CD
12197.0,0.5,-13.0,9.0,-1.011311,0.272567
11190.0,0.1,12.0,11.0,1.059790,1.085715
11585.0,0.6,-13.0,-2.0,-1.064663,0.122689
1885.0,0.3,-1.0,1.0,0.051884,-0.007377
4005.0,0.1,1.0,11.0,0.226656,0.935752
11457.0,0.4,0.0,7.0,0.140165,0.110875
14874.0,0.5,-6.0,-2.0,-0.491735,0.009858
6570.0,0.3,-11.0,-1.0,-0.932490,0.046575
3532.0,0.4,0.0,-1.0,0.158324,-0.007300
8431.0,0.4,-14.0,13.0,-0.965779,0.480282
6688.0,0.5,11.0,1.0,0.834201,0.148495
12582.0,0.5,3.0,-4.0,0.490128,0.027356
11019.0,0.5,-10.0,-3.0,-0.912816,0.055662
11875.0,0.3,12.0,4.0,1.076170,0.177384
4170.0,0.5,-3.0,11.0,-0.141148,0.214771
12494.0,0.2,7.0,4.0,0.723149,0.096652
8877.0,0.2,8.0,12.0,0.682306,0.593667
8610.0,0.3,-15.0,8.0,-1.084496,0.314747
14329.0,0.2,-5.0,6.0,-0.304742,0.135587
5191.0,0.6,-6.0,8.0,-0.488015,0.128145
5872.0,0.5,9.0,-2.0,0.910791,0.103397
9096.0,0.3,4.0,-1.0,0.544386,0.009048
9274.0,0.6,-2.0,10.0,-0.050256,0.158800
2741.0,0.6,-7.0,3.0,-0.614316,0.047735
10960.0,0.1,6.0,12.0,0.619094,1.157669
10419.0,0.5,10.0,14.0,0.735653,0.446531
8021.0,0.6,-11.0,10.0,-0.926245,0.261808
5075.0,0.3,-13.0,7.0,-0.971531,0.235084
12293.0,0.5,10.0,7.0,0.805507,0.217937
485.0,0.2,-11.0,10.0,-0.746264,0.438958
8947.0,0.5,14.0,-2.0,1.001307,0.219074
10284.0,0.3,5.0,14.0,0.479977,0.552454
2505.0,0.3,3.0,11.0,0.360012,0.342461
8094.0,0.2,5.0,9.0,0.510087,0.327365
12676.0,0.5,9.0,11.0,0.784007,0.315086
2936.0,0.2,7.0,13.0,0.600958,0.673379
5518.0,0.4,5.0,4.0,0.616424,0.070553
6103.0,0.5,-9.0,6.0,-0.748424,0.120964
6552.0,0.3,11.0,3.0,1.042355,0.136611
8692.0,0.3,8.0,10.0,0.742186,0.337238
7131.0,0.5,7.0,14.0,0.695598,0.394857
14559.0,0.5,-10.0,5.0,-0.848415,0.115049
13981.0,0.1,12.0,1.0,1.140344,0.112661
5543.0,0.6,-12.0,0.0,-1.034826,0.107574
2686.0,0.4,13.0,6.0,0.968587,0.262833
11630.0,0.4,-10.0,9.0,-0.754782,0.237041
7567.0,0.2,5.0,-1.0,0.608877,0.008330
11459.0,0.3,0.0,11.0,0.119752,0.330402
2436.0,0.2,-12.0,2.0,-0.946351,0.072235
11792.0,0.2,6.0,-3.0,0.712948,0.043654
