Altitude,Mach number,Angle of attack (AoA),Angle of sideslip (AoS),Total CL,Total CD,Directory Name
1000.0,0.3,0.0,0.0,0.145757,-0.016172,Case00_alt1000.0_mach0.3_aoa0.0_aos0.0
1100.0,0.3,0.0,0.0,0.145757,-0.016172,Case01_alt1100.0_mach0.3_aoa0.0_aos0.0
1200.0,0.3,0.0,0.0,0.145757,-0.016172,Case02_alt1200.0_mach0.3_aoa0.0_aos0.0
1300.0,0.3,0.0,0.0,0.145757,-0.016172,Case03_alt1300.0_mach0.3_aoa0.0_aos0.0
1400.0,0.3,0.0,0.0,0.145757,-0.016172,Case04_alt1400.0_mach0.3_aoa0.0_aos0.0
1500.0,0.3,0.0,0.0,0.145757,-0.016172,Case05_alt1500.0_mach0.3_aoa0.0_aos0.0
1000.0,0.4,0.0,0.0,0.136146,-0.010818,Case06_alt1000.0_mach0.4_aoa0.0_aos0.0
1000.0,0.5,0.0,0.0,0.141657,-0.003737,Case07_alt1000.0_mach0.5_aoa0.0_aos0.0
1000.0,0.6,0.0,0.0,0.141567,-0.000777,Case08_alt1000.0_mach0.6_aoa0.0_aos0.0
1000.0,0.7,0.0,0.0,0.147884,0.007837,Case09_alt1000.0_mach0.7_aoa0.0_aos0.0
1000.0,0.8,0.0,0.0,0.171331,0.014888,Case10_alt1000.0_mach0.8_aoa0.0_aos0.0
1000.0,0.3,0.0,1.0,0.151031,-0.007345,Case11_alt1000.0_mach0.3_aoa0.0_aos1.0
1000.0,0.3,0.0,2.0,0.156510,0.007579,Case12_alt1000.0_mach0.3_aoa0.0_aos2.0
1000.0,0.3,0.0,3.0,0.162377,0.028547,Case13_alt1000.0_mach0.3_aoa0.0_aos3.0
1000.0,0.3,0.0,4.0,0.168706,0.055505,Case14_alt1000.0_mach0.3_aoa0.0_aos4.0
1000.0,0.3,0.0,5.0,0.175721,0.088372,Case15_alt1000.0_mach0.3_aoa0.0_aos5.0
1000.0,0.3,0.0,0.0,0.145757,-0.016172,Case24_alt1000.0_mach0.3_aoa0.0_aos0.0
1000.0,0.3,1.0,0.0,0.235253,-0.011587,Case25_alt1000.0_mach0.3_aoa1.0_aos0.0
1000.0,0.3,2.0,0.0,0.323396,-0.005011,Case26_alt1000.0_mach0.3_aoa2.0_aos0.0
1000.0,0.3,3.0,0.0,0.409871,0.003548,Case27_alt1000.0_mach0.3_aoa3.0_aos0.0
1000.0,0.3,4.0,0.0,0.494327,0.014084,Case28_alt1000.0_mach0.3_aoa4.0_aos0.0
1000.0,0.3,8.0,0.0,0.804378,0.075643,Case30_alt1000.0_mach0.3_aoa8.0_aos0.0
1000.0,0.3,9.0,0.0,0.872908,0.095742,Case31_alt1000.0_mach0.3_aoa9.0_aos0.0
1000.0,0.3,10.0,0.0,0.936979,0.117634,Case32_alt1000.0_mach0.3_aoa10.0_aos0.0
1000.0,0.3,11.0,0.0,0.996154,0.141257,Case33_alt1000.0_mach0.3_aoa11.0_aos0.0
1000.0,0.3,12.0,0.0,1.050033,0.166536,Case34_alt1000.0_mach0.3_aoa12.0_aos0.0
1000.0,0.3,12.0,0.0,1.050033,0.166536,Case35_alt1000.0_mach0.3_aoa12.0_aos0.0
1000.0,0.3,13.0,0.0,1.098290,0.193383,Case36_alt1000.0_mach0.3_aoa13.0_aos0.0
